,subway_min_dist,subway_250m,subway_500m,bus_stop_min_dist,bus_stop_250m,bus_stop_500m,gov_building_min_dist,gov_building_250m,gov_building_500m,college_min_dist,college_250m,college_500m,school_min_dist,school_250m,school_500m,kgarden_min_dist,kgarden_250m,kgarden_500m,office_min_dist,office_250m,office_500m,food_min_dist,food_250m,food_500m,id
0,10000.0,0,0,829.1983827178741,0,0,10000.0,0,0,10000.0,0,0,533.866601995004,0,0,1254.8750563032816,0,0,1086.833836204933,0,0,688.4691556573313,0,0,8526.0
1,10000.0,0,0,1376.2187659440651,0,0,10000.0,0,0,10000.0,0,0,1359.2987334757202,0,0,79.96647176966374,1,1,732.4903152162667,0,0,197.74796929097812,1,1,8532.0
2,10000.0,0,0,1203.5746298809865,0,0,10000.0,0,0,10000.0,0,0,733.6749475974974,0,0,850.5050328961305,0,0,526.5844971575312,0,0,174.98321861605868,2,7,8533.0
3,59.371791355662175,3,3,60.155842572180674,2,12,3743.08564566892,0,0,1280.980381544977,0,0,841.1426736863608,0,0,105.7005905391319,2,3,112.12425770079038,2,9,5.6248526530663385,12,36,8684.0
4,10000.0,0,0,57.91324516400047,7,14,10000.0,0,0,1279.2383267392731,0,0,346.0182383277814,0,1,1093.5408621175766,0,0,119.98752710690644,4,5,103.08200818844377,3,7,37.0
5,10000.0,0,0,36.6564484988706,3,12,7819.238403427225,0,0,1664.675145323276,0,0,447.0315432920952,0,1,1174.1860484747062,0,0,193.79513276763416,1,1,54.09426421487449,4,12,313.0
6,476.34059989930535,0,3,302.9524275918419,0,8,3689.8530438144107,0,0,346.0617575167646,0,1,1074.4206409375943,0,0,638.9181316164699,0,0,245.17363874818878,1,2,95.85771401436983,2,17,335.0
7,10000.0,0,0,70.21732550062431,7,10,2257.6572532762134,0,0,337.1915747408199,0,1,268.7571525601517,0,2,409.00584178122614,0,2,278.65421407798874,0,3,31.989782563249303,22,73,358.0
8,10000.0,0,0,3432.6126327175184,0,0,9780.344613257977,0,0,10000.0,0,0,5244.971735581259,0,0,4532.553635154788,0,0,2069.5400582164484,0,0,1244.2262135648286,0,0,2895.0
9,10000.0,0,0,2195.6262491054094,0,0,10000.0,0,0,3752.424548130876,0,0,1680.5675874080973,0,0,677.4683567661057,0,0,233.24120310794004,2,7,367.3086572717933,0,1,1975.0
10,10000.0,0,0,61.144033067474666,4,13,10000.0,0,0,297.0369921786803,0,3,3431.202674674775,0,0,1568.468464332436,0,0,110.49015975941074,4,11,5.213542078047793,11,16,1977.0
11,10000.0,0,0,242.96416700386655,1,7,10000.0,0,0,392.7058364817843,0,1,489.28158508204837,0,1,330.39048109320254,0,1,596.7386551551655,0,0,187.1955112175765,1,14,1992.0
12,10000.0,0,0,10000.0,0,0,10000.0,0,0,3606.9133329818246,0,0,1025.6912977621434,0,0,1064.4459408202617,0,0,158.6015767249861,1,2,202.65020671429005,1,5,1998.0
13,10000.0,0,0,23.553207334962313,2,2,10000.0,0,0,10000.0,0,0,453.49620216349706,0,1,422.3616451616452,0,1,291.32032625367805,0,6,107.59170960586088,12,23,2006.0
14,10000.0,0,0,470.4793269050339,0,2,10000.0,0,0,614.6204065400176,0,0,796.1777432247299,0,0,234.83390194969837,1,1,321.78333833165243,0,1,361.24066893679407,0,1,2011.0
15,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,8940.561468561838,0,0,678.5753900434298,0,0,2012.0
16,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,10000.0,0,0,2017.0
17,10000.0,0,0,146.98023943235643,2,2,10000.0,0,0,10000.0,0,0,211.76733062025428,1,1,356.41263847446095,0,1,8866.251676570992,0,0,145.5887155089896,2,2,2022.0
18,10000.0,0,0,131.24548790554766,2,2,10000.0,0,0,6554.278262320339,0,0,4785.279211419722,0,0,8175.2774369375875,0,0,5990.840569102581,0,0,591.517404929635,0,0,2023.0
