,id,atm_group,address,address_rus,lat,long,target
0,8526.0,32.0,"EMELYANOVA,34          Y-SAKHALINSK   ","улица А.О. Емельянова, 34, Южно-Сахалинск, Сахалинская область, Россия",46.940995,142.738319,0.0114998209182048
1,8532.0,32.0,"KOMSOMOLSKAYA,259B     Y.SAKHALINSK   ","Комсомольская улица, 259, Южно-Сахалинск, Сахалинская область, Россия",46.937353,142.753348,0.0297102650350859
2,8533.0,32.0,"KOMMUN. PR., 32        YUZHNO SAKHAL  ","Коммунистический проспект, Южно-Сахалинск, Сахалинская область, Россия",46.959413,142.741113,0.0095399608832554
3,8684.0,32.0,"LENINGRADSKIY PR.,76A  MOSCOW         ","Ленинградский проспект, 76А, Москва, Россия, 125315",55.805827,37.515146,-0.0940346244764994
4,37.0,32.0,"GVARDEYSKAYA PL., 2    NORILSK        ","Гвардейская площадь, 2, Норильск, Красноярский край, Россия, 663302",69.343541,88.211228,0.0792773520096629
5,313.0,32.0,"RUSSKAYA, 16           VLADIVOSTOK    ","Русская улица, 16, Владивосток, Приморский край, Россия, 690039",43.16586,131.908212,-0.1450012314747548
6,335.0,32.0,"SHUKHOVA, 14           MOSCOW         ","улица Шухова, 14, Москва, Россия, 115162",55.716859,37.613063,-0.0246822352357643
7,358.0,32.0,"ADMIRALA FOKINA, 25    VLADIVOSTOK    ","улица Адмирала Фокина, 25, Владивосток, Приморский край, Россия, 690091",43.117174,131.885503,-0.1334258834962322
8,2895.0,32.0,Zhivopisnaia 136       d.Velednikov   ,"деревня Веледниково, городской округ Истра, Московская область, Россия",55.799765,37.116016,0.1414693533331615
9,1975.0,496.5,BEKESHSKAYA 39            PENZA       ,"Бекешская улица, 39, Пенза, Россия, 440018",53.20322,44.978826,0.0172589332663376
10,1977.0,496.5,B.MOSKOVSKAYA 90A         VLADIMIR    ,"Большая Московская улица, 90А, Владимир, Россия, 600000",56.132925,40.419184,-0.0139490047116537
11,1992.0,496.5,GORKOGO 20                TAMBOV      ,"улица Максима Горького, 20, Тамбов, Россия",52.718497,41.454511,-0.0484357394087966
12,1998.0,496.5,KURASHOVA 28/1            YAKUTSK     ,"улица Курашова, 28/1, Якутск, Республика Саха (Якутия), Россия, 677000",62.033259,129.736382,-0.0642932974491817
13,2006.0,496.5,LENINA 32                 MUROM       ,"улица Ленина, 32, Муром, Владимирская область, Россия, 602267",55.577108,42.05437,-0.1001214289644553
14,2011.0,496.5,BOROVSKAYA 5              BALABANOVO  ,"Боровская улица, 5, Балабаново, Боровский район, Калужская область, Россия, 249000",55.180598,36.655611,-0.0008294956654186
15,2012.0,496.5,SOVETSKAYA 21             ZHUKOV      ,"Советская улица, 21, Жуков, Калужская область, Россия, 249191",55.027991,36.750518,-0.0476678404207127
16,2017.0,496.5,DORZHIEVA 24A             MUKHORSHIBIR,"улица Доржиева, 24А, село Мухоршибирь, Республика Бурятия, Россия",51.048934,107.822322,0.017372643984509
17,2022.0,496.5,SADOVAYA 27B              KRIVODANOVKA,"Садовая улица, 27, село Криводановка, Новосибирский район, Новосибирская область, Россия",55.086363,82.64683,-0.0276573657875183
18,2023.0,496.5,SOVETSKAYA 19             KUGESI      ,"Советская улица, 19, поселок городского типа Кугеси, Чебоксарский район, Чувашская Республика, Россия, 429500",56.029642,47.294593,-0.0778711918613832
19,2027.0,496.5,MELNIKOVA 106             CHERLAK     ,"улица Мельникова, 106, посёлок городского типа Черлак, Черлакский район, Омская область, Россия, 646250",54.151887,74.79789,-0.0506266855287384
20,2033.0,496.5,POBEDY 67/2               PETROPAVLOVS,"проспект Победы, 67/2, Петропавловск-Камчатский, Камчатский край, Россия, 683902",53.070803,158.58752,0.0190607428520956
21,2034.0,496.5,POLEVAYA 4                MEDVEDEVO   ,"Полевая улица, 4, посёлок городского типа Медведево, Медведевский район, Республика Марий Эл, Россия, 425200",56.63759,47.803974,-0.0274751961229577
22,2035.0,496.5,UPITA 5A                  KIROV       ,"улица Андрея Упита, 5А, Киров, Россия, 610050",58.605564,49.591163,-0.1013755908540726
23,2850.0,496.5,VOSTOCHNAYA 42/7          ORENBURG    ,"Восточная улица, 42/7, Оренбург, Россия, 460021",51.784175,55.153504,-0.086529509128304
24,2873.0,496.5,AMURSKAYA 13              CHITA       ,"Амурская улица, 13, Чита, Забайкальский край, Россия, 672039",52.023722,113.513428,-0.0732875290072723
25,2876.0,496.5,VOROVSKOGO 43             KIROV       ,"улица Воровского, 43, Киров, Россия",58.594438,49.666657,-0.1105973682659273
26,2877.0,496.5,LENINA 3                  PRISTEN     ,"улица Ленина, 3, посёлок городского типа Пристень, Пристенский район, Курская область, Россия, 306200",51.235052,36.694293,-0.0787939986779948
27,2897.0,496.5,KARLA MARKSA 76/1         KURGAN      ,"улица Карла Маркса, 76/1, Курган, Россия",55.442245,65.35418,-0.0261465882319446
28,2900.0,496.5,KALACHINSKAYA 25          KALACHINSK  ,"Калачинская улица, 25, Калачинск, Омская область, Россия, 646900",55.047817,74.588663,0.0182088275363533
29,2914.0,496.5,ZAVOYKO 7                 ELIZOVO     ,"улица Завойко, 7, Елизово, Камчатский край, Россия, 684000",53.1871,158.383863,0.0613509276698259
30,2923.0,496.5,19-LINIYA 10              IVANOVO     ,"19-я линия, 10, Иваново, Россия, 153031",56.989885,40.932023,-0.0447300215074948
